Taxon,State,Age,Stage,Max_age,Min_age,Formation,Group,Comments
Lambeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Lambeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Lambeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Lambeosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Leptorhynchos,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Leptorhynchos,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Leptorhynchos,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Mercuriceratops,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Monoclonius,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Nodosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Ornithomimus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Ornithomimus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Pachycephalosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Palaeoscincus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Panoplosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Panoplosaurus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Parasaurolophus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Parasaurolophus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Parasaurolophus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Paronychodon,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Paronychodon,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Paronychodon,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Paronychodon,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Paronychodon,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Paronychodon,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Paronychodon,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Paronychodon,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Paronychodon,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Paronychodon,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Paronychodon,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Paronychodon,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Paronychodon,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Paronychodon,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Prenocephale,Alberta,Cretaceous,,76.8,75.3,Dinosaur Park,Two Medicine,
Prenocephale,Alberta,Cretaceous,,76.8,75.3,Dinosaur Park,Two Medicine,
Prosaurolophus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Prosaurolophus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Prosaurolophus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Prosaurolophus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Prosaurolophus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Prosaurolophus,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,74.7,74.5,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,79.7,79.5,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,79.7,79.5,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,79.7,79.5,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,81.3,76.2,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,84.9,70.6,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,79.7,79,Dinosaur Park,Two Medicine,
Richardoestesia,Alberta,Cretaceous,,79.2,79,Dinosaur Park,Two Medicine,
