collection_no,source_database,collection.authorizer,family_name,occurrence.genus_reso,occurrence.genus_name,original.genus_reso,original.genus_name,abund_value,abund_unit,occurrence.reference_no,original.reference_no,collection.reference_no,country,state,county,latdec,lngdec,period,epoch,subepoch,stage,10_my_bin,max_interval,min_interval,ma_max,ma_min,ma_mid,geological_group,formation,member,stratcomments,lithdescript,lithadj,lithadj2,environment,geology_comments,,,,,,,
143522,PaleoDB,P. Mannion,Caenagnathidae,n. gen.,Leptorhynchos,,,,,46506,,46506,United States,Texas,Brewster,29.316667,-103.516667,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,,Aguja,Upper Shale,,,,,terrestrial indet.,,,,,,,,
143522,PaleoDB,P. Mannion,Caenagnathidae,?,Chirostenotes,,,,,46506,,46506,United States,Texas,Brewster,29.316667,-103.516667,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,,Aguja,Upper Shale,,,,,terrestrial indet.,,,,,,,,
150883,PaleoDB,M. Carrano,,,Dryptosaurus,,,,,48207,,48207,United States,Texas,Brewster,29.286389,-103.550278,Cretaceous,Late/Upper Cretaceous,,Maastrichtian,Cretaceous 8,Maastrichtian,,70.6,66.043,68.3215,,Aguja,,"""Rattlesnake Beds""","""Fossils are usually preserved in the clays and limestones. In the sandstones they usually occur as moulds.""",green,,terrestrial indet.,,,,,,,,
165198,,M. Carrano,Saltasauridae,?,Alamosaurus,,Sauropoda,1,specimens,54034,54033,1135,United States,Texas,Brewster,29.396389,-103.203889,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Campanian,,84.9,70.6,77.75,,Aguja,,"""upper Aguja""",,,,terrestrial indet.,,,,,,,,
45860,ETE,M. Carrano,Hadrosauridae,,Saurolophus,,Trachodontidae,1,individuals,32195,18651,18651,United States,Wyoming,Sweetwater,41.8673,-109.1387,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Late/Upper Campanian,,84.9,70.6,77.75,Mesaverde,Almond,,"located 46-61m above Erickson Sandstone - lower half of formation; therefore between Baculties reesidei and B. eliasi zones, ca. 72.46 Ma",,,,terrestrial indet.,,,,,,,,
11932,PaleoDB,M. Carrano,,,Pleurocoelus,,Sauropoda,1,specimens,14253,4211,4211,United States,Oklahoma,Atoka,34.18,-96.278056,Cretaceous,Early/Lower Cretaceous,,,,Late/Upper Aptian,Early/Lower Albian,122.46,109,115.73,Trinity,Antlers,,"""upper bed"" of the ""Trinity sandstone""",White and yellow sand much cross-bedded and containing lentils of yellow sandy clay. It is one of these lentils from which the bone came.,yellow,yellow,coastal indet.,"""Most of this material bears evidence of being derived from adjoining rocks which formed the shore of the Cretaceous Sea...Everything points toward deposition in shallow turbulent water.""",,,,,,,
14374,Fossilworks,J. Alroy,Dromaeosauridae,,Deinonychus,,,,,1219,,1219,United States,Oklahoma,Atoka,34.4,-96.1,Cretaceous,Early/Lower Cretaceous,,,,Late/Upper Aptian,Early/Lower Albian,122.46,109,115.73,Trinity,Antlers,middle,,,,,terrestrial indet.,,,,,,,,
14374,Fossilworks,J. Alroy,,,Tenontosaurus,,,,,1219,,1219,United States,Oklahoma,Atoka,34.4,-96.1,Cretaceous,Early/Lower Cretaceous,,,,Late/Upper Aptian,Early/Lower Albian,122.46,109,115.73,Trinity,Antlers,middle,,,,,terrestrial indet.,,,,,,,,
14375,Fossilworks,J. Alroy,,?,Tenontosaurus,,Camptosauridae,,,7600,56060,3184,United States,Texas,Wise,33.283333,-97.616667,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,,112.6,99.7,106.15,Trinity,Antlers,Middle,originally said to be from the Paluxy Formation: stratigraphic usage discussed by Winkler et al. 1990,"""sandy clay matrix"" (Tasch 1967)",,,terrestrial indet.,,,,,,,,
14388,Fossilworks,J. Alroy,,,Astrodon,,Sauropoda,1,individuals,13937,30650,19641,United States,Texas,Montague,33.500178,-97.582739,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,,112.6,99.7,106.15,Trinity,Antlers,,,,,,terrestrial indet.,,,,,,,,
14388,Fossilworks,J. Alroy,,?,Tenontosaurus,"""",Camptosauridae,1,individuals,7600,30650,19641,United States,Texas,Montague,33.500178,-97.582739,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,,112.6,99.7,106.15,Trinity,Antlers,,,,,,terrestrial indet.,,,,,,,,
14392,Fossilworks,J. Alroy,Dromaeosauridae,,Deinonychus,,,1,individuals,1219,,1212,United States,Oklahoma,Atoka,34.4,-96.1,Cretaceous,Early/Lower Cretaceous,,,,Late/Upper Aptian,Early/Lower Albian,122.46,109,115.73,Trinity,Antlers,middle,"said to be late Aptian to early Albian microvertebrates are from ""1-1.5 m below the dinosaur-bearing horizon"" (Nydam and Cifelli 2002b)","""red and gray/green claystone with intermittent lenses of poorly consolidated sandstones and numerous carbonate concretions"" (Nydam and Cifelli 2002b)","concretionary,gray,green,red","lenticular,brown,yellow","""floodplain""","""overbank deposit associated with a meandering fluvial system"" (Nydam and Cifelli 2002b)",,,,,,,
